Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_35_305,VGND,li1,145.8200,100.6400,0.000013
FILLER_35_293,VGND,li1,140.3000,100.6400,0.000013
FILLER_35_281,VGND,li1,134.7800,100.6400,0.000018
FILLER_35_279,VGND,li1,131.3300,100.6400,0.000024
FILLER_35_273,VGND,li1,129.7200,100.6400,0.000024
FILLER_35_261,VGND,li1,125.5800,100.6400,0.000029
FILLER_35_237,VGND,li1,112.7000,100.6400,0.000038
FILLER_35_225,VGND,li1,109.0200,100.6400,0.000037
FILLER_35_223,VGND,li1,105.5700,100.6400,0.000032
FILLER_35_215,VGND,li1,103.5000,100.6400,0.000028
FILLER_35_203,VGND,li1,98.9000,100.6400,0.000019
FILLER_35_177,VGND,li1,84.8700,100.6400,0.000015
FILLER_35_169,VGND,li1,82.3400,100.6400,0.000014
FILLER_35_167,VGND,li1,79.8100,100.6400,0.000012
FILLER_35_161,VGND,li1,78.2000,100.6400,0.000012
FILLER_35_149,VGND,li1,74.0600,100.6400,0.000010
FILLER_35_137,VGND,li1,68.5400,100.6400,0.000007
FILLER_35_125,VGND,li1,63.0200,100.6400,0.000005
FILLER_35_113,VGND,li1,57.5000,100.6400,0.000004
FILLER_35_111,VGND,li1,54.0500,100.6400,0.000003
FILLER_35_105,VGND,li1,52.4400,100.6400,0.000003
FILLER_35_93,VGND,li1,48.3000,100.6400,0.000003
FILLER_35_81,VGND,li1,42.7800,100.6400,0.000002
FILLER_35_69,VGND,li1,37.2600,100.6400,0.000002
FILLER_35_57,VGND,li1,31.7400,100.6400,0.000002
FILLER_35_55,VGND,li1,28.2900,100.6400,0.000001
FILLER_35_51,VGND,li1,27.1400,100.6400,0.000001
FILLER_35_39,VGND,li1,23.4600,100.6400,0.000001
FILLER_35_27,VGND,li1,17.9400,100.6400,0.000001
FILLER_35_15,VGND,li1,12.4200,100.6400,0.000001
FILLER_35_3,VGND,li1,6.9000,100.6400,0.000001
FILLER_34_333,VGND,li1,156.4000,95.2000,0.000000
FILLER_34_321,VGND,li1,153.1800,95.2000,0.000000
FILLER_34_309,VGND,li1,147.6600,95.2000,0.000000
FILLER_34_307,VGND,li1,144.2100,95.2000,0.000000
FILLER_34_301,VGND,li1,142.6000,95.2000,0.000000
FILLER_34_289,VGND,li1,138.4600,95.2000,0.000000
FILLER_34_277,VGND,li1,132.9400,95.2000,0.000000
FILLER_34_265,VGND,li1,127.4200,95.2000,0.000001
FILLER_34_253,VGND,li1,121.9000,95.2000,0.000001
FILLER_34_251,VGND,li1,118.4500,95.2000,0.000001
FILLER_34_245,VGND,li1,116.8400,95.2000,0.000001
FILLER_34_233,VGND,li1,112.7000,95.2000,0.000001
FILLER_34_221,VGND,li1,107.1800,95.2000,0.000001
FILLER_34_209,VGND,li1,101.6600,95.2000,0.000001
FILLER_34_197,VGND,li1,96.1400,95.2000,0.000002
FILLER_34_184,VGND,li1,90.1600,95.2000,0.000003
FILLER_34_153,VGND,li1,74.9800,95.2000,0.000003
FILLER_34_141,VGND,li1,70.3800,95.2000,0.000002
FILLER_34_139,VGND,li1,66.9300,95.2000,0.000002
FILLER_34_133,VGND,li1,65.3200,95.2000,0.000002
FILLER_34_121,VGND,li1,61.1800,95.2000,0.000001
FILLER_34_109,VGND,li1,55.6600,95.2000,0.000001
FILLER_34_97,VGND,li1,50.1400,95.2000,0.000001
FILLER_34_85,VGND,li1,44.6200,95.2000,0.000001
FILLER_34_83,VGND,li1,41.1700,95.2000,0.000001
FILLER_34_77,VGND,li1,39.5600,95.2000,0.000001
FILLER_34_65,VGND,li1,35.4200,95.2000,0.000001
FILLER_34_53,VGND,li1,29.9000,95.2000,0.000000
FILLER_34_41,VGND,li1,24.3800,95.2000,0.000000
FILLER_34_29,VGND,li1,18.8600,95.2000,0.000000
FILLER_34_27,VGND,li1,15.4100,95.2000,0.000000
FILLER_34_15,VGND,li1,12.4200,95.2000,0.000000
FILLER_34_3,VGND,li1,6.9000,95.2000,0.000000
FILLER_33_329,VGND,li1,155.4800,95.2000,0.000000
FILLER_33_317,VGND,li1,151.3400,95.2000,0.000000
FILLER_33_305,VGND,li1,145.8200,95.2000,0.000000
FILLER_33_293,VGND,li1,140.3000,95.2000,0.000000
FILLER_33_281,VGND,li1,134.7800,95.2000,0.000000
FILLER_33_279,VGND,li1,131.3300,95.2000,0.000000
FILLER_33_273,VGND,li1,129.7200,95.2000,0.000000
FILLER_33_261,VGND,li1,125.5800,95.2000,0.000001
FILLER_33_249,VGND,li1,120.0600,95.2000,0.000001
FILLER_33_237,VGND,li1,114.5400,95.2000,0.000001
FILLER_33_225,VGND,li1,109.0200,95.2000,0.000001
FILLER_33_223,VGND,li1,105.5700,95.2000,0.000001
FILLER_33_217,VGND,li1,103.9600,95.2000,0.000001
FILLER_33_205,VGND,li1,99.8200,95.2000,0.000001
FILLER_33_193,VGND,li1,94.3000,95.2000,0.000002
FILLER_33_181,VGND,li1,88.7800,95.2000,0.000003
FILLER_33_169,VGND,li1,83.2600,95.2000,0.000004
FILLER_33_167,VGND,li1,79.8100,95.2000,0.000004
FILLER_33_161,VGND,li1,78.2000,95.2000,0.000004
FILLER_33_149,VGND,li1,74.0600,95.2000,0.000003
FILLER_33_137,VGND,li1,68.5400,95.2000,0.000002
FILLER_33_125,VGND,li1,63.0200,95.2000,0.000001
FILLER_33_113,VGND,li1,57.5000,95.2000,0.000001
FILLER_33_111,VGND,li1,54.0500,95.2000,0.000001
FILLER_33_105,VGND,li1,52.4400,95.2000,0.000001
FILLER_33_93,VGND,li1,48.3000,95.2000,0.000001
FILLER_33_81,VGND,li1,42.7800,95.2000,0.000001
FILLER_33_69,VGND,li1,37.2600,95.2000,0.000001
FILLER_33_57,VGND,li1,31.7400,95.2000,0.000000
FILLER_33_55,VGND,li1,28.2900,95.2000,0.000000
FILLER_33_51,VGND,li1,27.1400,95.2000,0.000000
FILLER_33_39,VGND,li1,23.4600,95.2000,0.000000
FILLER_33_27,VGND,li1,17.9400,95.2000,0.000000
FILLER_33_15,VGND,li1,12.4200,95.2000,0.000000
FILLER_33_3,VGND,li1,6.9000,95.2000,0.000000
FILLER_32_333,VGND,li1,156.4000,89.7600,0.000000
FILLER_32_321,VGND,li1,153.1800,89.7600,0.000000
FILLER_32_309,VGND,li1,147.6600,89.7600,0.000000
FILLER_32_307,VGND,li1,144.2100,89.7600,0.000000
FILLER_32_301,VGND,li1,142.6000,89.7600,0.000000
FILLER_32_289,VGND,li1,138.4600,89.7600,0.000000
